Date,Time,TempC,TempCplus2,ProdFactor
1/1/87,1:00,-14.4,-12.4,0
1/1/87,2:00,-15,-13,0
1/1/87,3:00,-14.4,-12.4,0
1/1/87,4:00,-13.9,-11.9,0
1/1/87,5:00,-13.9,-11.9,0
1/1/87,6:00,-15,-13,0
1/1/87,7:00,-15.6,-13.6,0
1/1/87,8:00,-15,-13,0
1/1/87,9:00,-16.1,-14.1,0
1/1/87,10:00,-16.1,-14.1,0
1/1/87,11:00,-16.7,-14.7,0
1/1/87,12:00,-16.7,-14.7,0
1/1/87,13:00,-16.7,-14.7,0
1/1/87,14:00,-16.1,-14.1,0
1/1/87,15:00,-15,-13,0
1/1/87,16:00,-15,-13,0
1/1/87,17:00,-14.4,-12.4,0
1/1/87,18:00,-14.4,-12.4,0
1/1/87,19:00,-14.4,-12.4,0
1/1/87,20:00,-14.4,-12.4,0
1/1/87,21:00,-15,-13,0
1/1/87,22:00,-15,-13,0
1/1/87,23:00,-15,-13,0
1/1/87,24:00:00,-15,-13,0
1/2/87,1:00,-15,-13,0
1/2/87,2:00,-15,-13,0
1/2/87,3:00,-15,-13,0
1/2/87,4:00,-15,-13,0
1/2/87,5:00,-15.6,-13.6,0
1/2/87,6:00,-15.6,-13.6,0
1/2/87,7:00,-14.4,-12.4,0
1/2/87,8:00,-14.4,-12.4,0
1/2/87,9:00,-15.6,-13.6,0
1/2/87,10:00,-17.2,-15.2,0
1/2/87,11:00,-17.8,-15.8,0
1/2/87,12:00,-18.3,-16.3,0
1/2/87,13:00,-18.9,-16.9,0
1/2/87,14:00,-18.9,-16.9,0
1/2/87,15:00,-18.9,-16.9,0
1/2/87,16:00,-18.9,-16.9,0
1/2/87,17:00,-18.9,-16.9,0
1/2/87,18:00,-18.9,-16.9,0
1/2/87,19:00,-18.3,-16.3,0
1/2/87,20:00,-18.9,-16.9,0
1/2/87,21:00,-18.9,-16.9,0
1/2/87,22:00,-18.9,-16.9,0
1/2/87,23:00,-18.9,-16.9,0
1/2/87,24:00:00,-18.9,-16.9,0
1/3/87,1:00,-18.9,-16.9,0
1/3/87,2:00,-19.4,-17.4,0
1/3/87,3:00,-19.4,-17.4,0
1/3/87,4:00,-18.9,-16.9,0
1/3/87,5:00,-20.6,-18.6,0
1/3/87,6:00,-21.7,-19.7,0
1/3/87,7:00,-23.3,-21.3,0
1/3/87,8:00,-24.4,-22.4,0
1/3/87,9:00,-25.6,-23.6,0
1/3/87,10:00,-25.6,-23.6,0
1/3/87,11:00,-26.7,-24.7,0
1/3/87,12:00,-25,-23,0
1/3/87,13:00,-23.3,-21.3,0
1/3/87,14:00,-22.8,-20.8,0
1/3/87,15:00,-23.9,-21.9,0
1/3/87,16:00,-26.1,-24.1,0
1/3/87,17:00,-26.1,-24.1,0
1/3/87,18:00,-27.2,-25.2,0
1/3/87,19:00,-26.1,-24.1,0
1/3/87,20:00,-27.8,-25.8,0
1/3/87,21:00,-26.1,-24.1,0
1/3/87,22:00,-23.3,-21.3,0
1/3/87,23:00,-21.7,-19.7,0
1/3/87,24:00:00,-21.1,-19.1,0
1/4/87,1:00,-18.9,-16.9,0
1/4/87,2:00,-18.3,-16.3,0
1/4/87,3:00,-18.3,-16.3,0
1/4/87,4:00,-17.2,-15.2,0
1/4/87,5:00,-15,-13,0
1/4/87,6:00,-14.4,-12.4,0
1/4/87,7:00,-15,-13,0
1/4/87,8:00,-15,-13,0
1/4/87,9:00,-13.9,-11.9,0
1/4/87,10:00,-13.3,-11.3,0
1/4/87,11:00,-13.3,-11.3,0
1/4/87,12:00,-12.8,-10.8,0
1/4/87,13:00,-12.2,-10.2,0
1/4/87,14:00,-12.2,-10.2,0
1/4/87,15:00,-12.2,-10.2,0
1/4/87,16:00,-12.8,-10.8,0
1/4/87,17:00,-12.2,-10.2,0
1/4/87,18:00,-12.2,-10.2,0
1/4/87,19:00,-12.8,-10.8,0
1/4/87,20:00,-12.2,-10.2,0
1/4/87,21:00,-12.2,-10.2,0
1/4/87,22:00,-12.2,-10.2,0
1/4/87,23:00,-12.2,-10.2,0
1/4/87,24:00:00,-12.8,-10.8,0
1/5/87,1:00,-12.2,-10.2,0
1/5/87,2:00,-11.7,-9.7,0
1/5/87,3:00,-11.7,-9.7,0
1/5/87,4:00,-12.8,-10.8,0
1/5/87,5:00,-12.8,-10.8,0
1/5/87,6:00,-13.3,-11.3,0
1/5/87,7:00,-13.3,-11.3,0
1/5/87,8:00,-14.4,-12.4,0
1/5/87,9:00,-16.7,-14.7,0
1/5/87,10:00,-17.2,-15.2,0
1/5/87,11:00,-17.8,-15.8,0
1/5/87,12:00,-18.3,-16.3,0
1/5/87,13:00,-18.3,-16.3,0
1/5/87,14:00,-17.8,-15.8,0
1/5/87,15:00,-17.2,-15.2,0
1/5/87,16:00,-17.2,-15.2,0
1/5/87,17:00,-16.7,-14.7,0
1/5/87,18:00,-16.1,-14.1,0
1/5/87,19:00,-16.1,-14.1,0
1/5/87,20:00,-15.6,-13.6,0
1/5/87,21:00,-15.6,-13.6,0
1/5/87,22:00,-16.7,-14.7,0
1/5/87,23:00,-16.7,-14.7,0
1/5/87,24:00:00,-16.1,-14.1,0
1/6/87,1:00,-16.1,-14.1,0
1/6/87,2:00,-16.1,-14.1,0
1/6/87,3:00,-16.7,-14.7,0
1/6/87,4:00,-18.3,-16.3,0
1/6/87,5:00,-17.8,-15.8,0
1/6/87,6:00,-17.2,-15.2,0
1/6/87,7:00,-16.1,-14.1,0
1/6/87,8:00,-17.8,-15.8,0
1/6/87,9:00,-17.2,-15.2,0
1/6/87,10:00,-15,-13,0
1/6/87,11:00,-13.9,-11.9,0
1/6/87,12:00,-12.8,-10.8,0
1/6/87,13:00,-13.3,-11.3,0
1/6/87,14:00,-13.3,-11.3,0
1/6/87,15:00,-10.6,-8.6,0
1/6/87,16:00,-10,-8,0
1/6/87,17:00,-9.4,-7.4,0
1/6/87,18:00,-7.2,-5.2,0
1/6/87,19:00,-3.9,-1.9,0
1/6/87,20:00,-1.7,0.3,0
1/6/87,21:00,-6.1,-4.1,0
1/6/87,22:00,-3.9,-1.9,0
1/6/87,23:00,-2.8,-0.8,0
1/6/87,24:00:00,-3.9,-1.9,0
1/7/87,1:00,-6.1,-4.1,0
1/7/87,2:00,-7.2,-5.2,0
1/7/87,3:00,-5.6,-3.6,0
1/7/87,4:00,-7.8,-5.8,0
1/7/87,5:00,-7.2,-5.2,0
1/7/87,6:00,-6.7,-4.7,0
1/7/87,7:00,-7.2,-5.2,0
1/7/87,8:00,-7.2,-5.2,0
1/7/87,9:00,-7.2,-5.2,0
1/7/87,10:00,-7.8,-5.8,0
1/7/87,11:00,-7.8,-5.8,0
1/7/87,12:00,-7.8,-5.8,0
1/7/87,13:00,-7.8,-5.8,0
1/7/87,14:00,-7.8,-5.8,0
1/7/87,15:00,-7.8,-5.8,0
1/7/87,16:00,-7.8,-5.8,0
1/7/87,17:00,-8.9,-6.9,0
1/7/87,18:00,-9.4,-7.4,0
1/7/87,19:00,-8.9,-6.9,0
1/7/87,20:00,-10.6,-8.6,0
1/7/87,21:00,-10.6,-8.6,0
