Date,Time,TempC,TempCplus2,ProdFactor
1/1/87,1:00,-44,-42,0
1/1/87,2:00,-43,-41,0
1/1/87,3:00,-44,-42,0
1/1/87,4:00,-44,-42,0
1/1/87,5:00,-43,-41,0
1/1/87,6:00,-43,-41,0
1/1/87,7:00,-43,-41,0
1/1/87,8:00,-43,-41,0
1/1/87,9:00,-44,-42,0
1/1/87,10:00,-44,-42,0
1/1/87,11:00,-43,-41,0
1/1/87,12:00,-44,-42,0
1/1/87,13:00,-41.6,-39.6,0
1/1/87,14:00,-43,-41,0
1/1/87,15:00,-43,-41,0
1/1/87,16:00,-43,-41,0
1/1/87,17:00,-43,-41,0
1/1/87,18:00,-44,-42,0
1/1/87,19:00,-44,-42,0
1/1/87,20:00,-44,-42,0
1/1/87,21:00,-44,-42,0
1/1/87,22:00,-44,-42,0
1/1/87,23:00,-44,-42,0
1/1/87,24:00:00,-44,-42,0
1/2/87,1:00,-44,-42,0
1/2/87,2:00,-44,-42,0
1/2/87,3:00,-44,-42,0
1/2/87,4:00,-44,-42,0
1/2/87,5:00,-44,-42,0
1/2/87,6:00,-44,-42,0
1/2/87,7:00,-45,-43,0
1/2/87,8:00,-45,-43,0
1/2/87,9:00,-45,-43,0
1/2/87,10:00,-44,-42,0
1/2/87,11:00,-44,-42,0
1/2/87,12:00,-44,-42,0
1/2/87,13:00,-42.1,-40.1,0
1/2/87,14:00,-44,-42,0
1/2/87,15:00,-44,-42,0
1/2/87,16:00,-44,-42,0
1/2/87,17:00,-44,-42,0
1/2/87,18:00,-44,-42,0
1/2/87,19:00,-44,-42,0
1/2/87,20:00,-44,-42,0
1/2/87,21:00,-44,-42,0
1/2/87,22:00,-45,-43,0
1/2/87,23:00,-45,-43,0
1/2/87,24:00:00,-44,-42,0
1/3/87,1:00,-45,-43,0
1/3/87,2:00,-46,-44,0
1/3/87,3:00,-45,-43,0
1/3/87,4:00,-46,-44,0
1/3/87,5:00,-45,-43,0
1/3/87,6:00,-46,-44,0
1/3/87,7:00,-46,-44,0
1/3/87,8:00,-46,-44,0
1/3/87,9:00,-46,-44,0
1/3/87,10:00,-46,-44,0
1/3/87,11:00,-46,-44,0
1/3/87,12:00,-45,-43,0
1/3/87,13:00,-43.1,-41.1,0
1/3/87,14:00,-45,-43,0
1/3/87,15:00,-44,-42,0
1/3/87,16:00,-41,-39,0
1/3/87,17:00,-38,-36,0
1/3/87,18:00,-37,-35,0
1/3/87,19:00,-39,-37,0
1/3/87,20:00,-42,-40,0
1/3/87,21:00,-43,-41,0
1/3/87,22:00,-42,-40,0
1/3/87,23:00,-41.6,-39.6,0
1/3/87,24:00:00,-41.1,-39.1,0
1/4/87,1:00,-40.6,-38.6,0
1/4/87,2:00,-40.3,-38.3,0
1/4/87,3:00,-39.8,-37.8,0
1/4/87,4:00,-39.7,-37.7,0
1/4/87,5:00,-40.3,-38.3,0
1/4/87,6:00,-39.9,-37.9,0
1/4/87,7:00,-39.6,-37.6,0
1/4/87,8:00,-39.2,-37.2,0
1/4/87,9:00,-38.8,-36.8,0
1/4/87,10:00,-38.4,-36.4,0
1/4/87,11:00,-36.7,-34.7,0
1/4/87,12:00,-36.8,-34.8,0
1/4/87,13:00,-33.6,-31.6,0
1/4/87,14:00,-34.1,-32.1,0
1/4/87,15:00,-34.4,-32.4,0
1/4/87,16:00,-33.6,-31.6,0
1/4/87,17:00,-34,-32,0
1/4/87,18:00,-34.3,-32.3,0
1/4/87,19:00,-33.7,-31.7,0
1/4/87,20:00,-33.5,-31.5,0
1/4/87,21:00,-32.1,-30.1,0
1/4/87,22:00,-31.6,-29.6,0
1/4/87,23:00,-30.7,-28.7,0
1/4/87,24:00:00,-30.1,-28.1,0
1/5/87,1:00,-29.5,-27.5,0
1/5/87,2:00,-29.2,-27.2,0
1/5/87,3:00,-28.6,-26.6,0
1/5/87,4:00,-28.4,-26.4,0
1/5/87,5:00,-28,-26,0
1/5/87,6:00,-27.3,-25.3,0
1/5/87,7:00,-27.2,-25.2,0
1/5/87,8:00,-26.9,-24.9,0
1/5/87,9:00,-26.1,-24.1,0
1/5/87,10:00,-26.1,-24.1,0
1/5/87,11:00,-24.3,-22.3,0
1/5/87,12:00,-24.5,-22.5,0
1/5/87,13:00,-21.1,-19.1,0
1/5/87,14:00,-21.6,-19.6,0
1/5/87,15:00,-22,-20,0
1/5/87,16:00,-25.8,-23.8,0
1/5/87,17:00,-30.9,-28.9,0
1/5/87,18:00,-36,-34,0
1/5/87,19:00,-38,-36,0
1/5/87,20:00,-38,-36,0
1/5/87,21:00,-37,-35,0
1/5/87,22:00,-38,-36,0
1/5/87,23:00,-38,-36,0
1/5/87,24:00:00,-38,-36,0
1/6/87,1:00,-37,-35,0
1/6/87,2:00,-37,-35,0
1/6/87,3:00,-37,-35,0
1/6/87,4:00,-36,-34,0
1/6/87,5:00,-36,-34,0
1/6/87,6:00,-35,-33,0
1/6/87,7:00,-34,-32,0
1/6/87,8:00,-34,-32,0
1/6/87,9:00,-33,-31,0
1/6/87,10:00,-33.9,-31.9,0
1/6/87,11:00,-33,-31,0
1/6/87,12:00,-34.2,-32.2,0
1/6/87,13:00,-32,-30,0
1/6/87,14:00,-32,-30,0
1/6/87,15:00,-32,-30,0
1/6/87,16:00,-32,-30,0
1/6/87,17:00,-32,-30,0
1/6/87,18:00,-32,-30,0
1/6/87,19:00,-32,-30,0
1/6/87,20:00,-31,-29,0
1/6/87,21:00,-31.3,-29.3,0
1/6/87,22:00,-32,-30,0
1/6/87,23:00,-32,-30,0
1/6/87,24:00:00,-33,-31,0
1/7/87,1:00,-32,-30,0
1/7/87,2:00,-29,-27,0
1/7/87,3:00,-27,-25,0
1/7/87,4:00,-21,-19,0
1/7/87,5:00,-22,-20,0
1/7/87,6:00,-20.2,-18.2,0
1/7/87,7:00,-19,-17,0
1/7/87,8:00,-18,-16,0
1/7/87,9:00,-18,-16,0
1/7/87,10:00,-18,-16,0
1/7/87,11:00,-19,-17,0
1/7/87,12:00,-18,-16,0
1/7/87,13:00,-18,-16,0
1/7/87,14:00,-16,-14,0
1/7/87,15:00,-16,-14,0
1/7/87,16:00,-16,-14,0
1/7/87,17:00,-17,-15,0
1/7/87,18:00,-18,-16,0
1/7/87,19:00,-19,-17,0
1/7/87,20:00,-18,-16,0
1/7/87,21:00,-18,-16,0
1/7/87,22:00,-20,-18,0
1/7/87,23:00,-18,-16,0
1/7/87,24:00:00,-18,-16,0
1/8/87,1:00,-24,-22,0
1/8/87,2:00,-26,-24,0
1/8/87,3:00,-26,-24,0
1/8/87,4:00,-27,-25,0
1/8/87,5:00,-28,-26,0
1/8/87,6:00,-27,-25,0
1/8/87,7:00,-27,-25,0
1/8/87,8:00,-27,-25,0
1/8/87,9:00,-27,-25,0
1/8/87,10:00,-27,-25,0
1/8/87,11:00,-26,-24,0
1/8/87,12:00,-26,-24,0
1/8/87,13:00,-24.1,-22.1,0
1/8/87,14:00,-26,-24,0
1/8/87,15:00,-24,-22,0
1/8/87,16:00,-25,-23,0
1/8/87,17:00,-27,-25,0
1/8/87,18:00,-27,-25,0
1/8/87,19:00,-26,-24,0
1/8/87,20:00,-23,-21,0
1/8/87,21:00,-23,-21,0
1/8/87,22:00,-23.3,-21.3,0
1/8/87,23:00,-23.3,-21.3,0
1/8/87,24:00:00,-23.6,-21.6,0
1/9/87,1:00,-24,-22,0
1/9/87,2:00,-23,-21,0
1/9/87,3:00,-26,-24,0
1/9/87,4:00,-30,-28,0
1/9/87,5:00,-31,-29,0
1/9/87,6:00,-32,-30,0
1/9/87,7:00,-33,-31,0
1/9/87,8:00,-34,-32,0
1/9/87,9:00,-34.6,-32.6,0
1/9/87,10:00,-36,-34,0
1/9/87,11:00,-34,-32,0
1/9/87,12:00,-36,-34,0
1/9/87,13:00,-33.6,-31.6,0
1/9/87,14:00,-35,-33,0
1/9/87,15:00,-34,-32,0
1/9/87,16:00,-34,-32,0
1/9/87,17:00,-36,-34,0
1/9/87,18:00,-36,-34,0
1/9/87,19:00,-37,-35,0
1/9/87,20:00,-37,-35,0
1/9/87,21:00,-39,-37,0
1/9/87,22:00,-37,-35,0
1/9/87,23:00,-38,-36,0
1/9/87,24:00:00,-38,-36,0
1/10/87,1:00,-39,-37,0
1/10/87,2:00,-39,-37,0
1/10/87,3:00,-39,-37,0
1/10/87,4:00,-39.5,-37.5,0
1/10/87,5:00,-39.4,-37.4,0
1/10/87,6:00,-39,-37,0
1/10/87,7:00,-41,-39,0
1/10/87,8:00,-40,-38,0
1/10/87,9:00,-40.4,-38.4,0
1/10/87,10:00,-41.6,-39.6,0
1/10/87,11:00,-41,-39,0
1/10/87,12:00,-41,-39,0
1/10/87,13:00,-38.1,-36.1,0
